v_team,v_league,v_game_num,h_team,h_league,h_game_num,day_night,park_id,h_manager_name,v_starting_pitcher_name,h_starting_pitcher_name,v_player_1_name,v_player_1_pos,v_player_2_name,v_player_2_pos,v_player_3_name,v_player_3_pos,v_player_4_name,v_player_4_pos,v_player_5_name,v_player_5_pos,v_player_6_name,v_player_6_pos,v_player_7_name,v_player_7_pos,v_player_8_name,v_player_8_pos,v_player_9_name,v_player_9_pos,h_player_1_name,h_player_1_pos,h_player_2_name,h_player_2_pos,h_player_3_name,h_player_3_pos,h_player_4_name,h_player_4_pos,h_player_5_name,h_player_5_pos,h_player_6_name,h_player_6_pos,h_player_7_name,h_player_7_pos,h_player_8_name,h_player_8_pos,h_player_9_name,h_player_9_pos,h_team_wins
NYN,NL,1,LAN,NL,1,0,LOS03,Dave Roberts,673540,656427.0,596019,6,668901,5,607043,7,624413,3,516782,9,608385,10,578428,4,621438,8,682626,2,660271,10,605141,9,518692,3,606192,7,669257,2,571970,5,571771,8,666158,4,669242,6,1
NYN,NL,2,LAN,NL,2,1,LOS03,Dave Roberts,640455,518489.0,596019,6,668901,5,607043,7,624413,3,516782,9,608385,10,578428,4,621438,8,682626,2,660271,10,605141,9,606192,7,518692,3,669257,2,669242,6,571970,5,571771,4,681624,8,0
CLE,AL,1,NYA,AL,1,0,NYC21,Aaron Boone,502171,607074.0,680757,7,681807,10,608070,5,657041,8,647304,3,678877,9,666310,2,665926,4,677587,6,650402,4,665742,9,592450,8,669224,2,519317,10,665862,5,683011,6,519203,3,657077,7,1
CLE,AL,2,NYA,AL,2,0,NYC21,Aaron Boone,676440,543037.0,680757,7,700932,10,608070,5,647304,3,657041,8,686823,9,665926,4,666310,2,677587,6,650402,4,665742,9,592450,8,669224,2,519317,10,665862,5,683011,6,519203,3,657077,7,1
LAN,NL,3,NYN,NL,3,0,NYC20,Carlos Mendoza,621111,622663.0,660271,10,605141,9,518692,3,571970,5,606192,7,666158,4,669257,2,669242,6,571771,8,596019,6,668901,5,607043,7,624413,3,516782,9,502110,10,578428,4,621438,8,682626,2,0
LAN,NL,4,NYN,NL,4,0,NYC20,Carlos Mendoza,808967,500779.0,660271,10,605141,9,606192,7,669242,6,571771,5,571970,3,669257,2,681624,8,621035,4,596019,6,668901,5,624413,3,607043,7,516782,9,502110,10,578428,4,664056,8,682626,2,0
NYA,AL,3,CLE,AL,3,0,CLE08,Stephen Vogt,657376,Matt Boyd,650402,4,665742,9,592450,8,519317,10,665862,5,542932,3,683011,6,657077,7,624431,2,680757,7,700932,10,608070,5,647304,3,657041,8,682177,9,665926,4,595978,2,677587,6,1
LAN,NL,5,NYN,NL,5,0,NYC20,Carlos Mendoza,656427,656849.0,660271,10,605141,9,606192,7,518692,3,669242,6,571771,4,571970,5,669257,2,681624,8,596019,6,607043,7,668901,5,624413,3,608385,10,516782,9,621438,8,643446,4,682626,2,1
NYA,AL,4,CLE,AL,4,0,CLE08,Stephen Vogt,661563,668909.0,650402,4,665742,9,592450,8,665862,5,519317,10,519203,3,683011,6,669224,2,657077,7,680757,7,700932,10,608070,5,647304,3,657041,8,682177,9,665926,4,595978,2,677587,6,0
NYA,AL,5,CLE,AL,5,0,CLE08,Stephen Vogt,607074,676440.0,650402,4,665742,9,592450,8,519317,10,665862,5,519203,3,683011,6,669224,2,657077,7,680757,7,681807,10,608070,5,657041,8,647304,3,678877,9,666310,2,665926,4,677587,6,0
NYN,NL,6,LAN,NL,6,0,LOS03,Dave Roberts,640455,656629.0,596019,6,607043,7,668901,5,624413,3,608385,10,516782,9,621438,8,643446,4,682626,2,660271,10,605141,9,606192,7,669242,6,571970,3,571771,5,681624,8,669257,2,621035,4,1
