date,game_num,day_of_week,v_team,v_league,v_game_num,h_team,h_league,h_game_num,v_score,h_score,length_in_outs,day_night,completion_info,forfeit_info,protest_info,park_id,attendance,time_of_game_min,v_line_score,h_line_score,v_at_bats,v_hits,v_doubles,v_triples,v_homeruns,v_rbi,v_sacrifice_hits,v_sacrifice_flies,v_hit_by_pitch,v_walks,v_intentional_walks,v_strikeouts,v_stolen_bases,v_caught_stealing,v_grounded_into_dp,v_catcher_interference,v_left_on_base,v_pitchers_used,v_individual_earned_runs,v_team_earned_runs,v_wild_pitches,v_balks,v_putouts,v_assists,v_errors,v_passed_balls,v_double_plays,v_triple_plays,h_at_bats,h_hits,h_doubles,h_triples,h_homeruns,h_rbi,h_sacrifice_hits,h_sacrifice_flies,h_hit_by_pitch,h_walks,h_intentional_walks,h_strikeouts,h_stolen_bases,h_caught_stealing,h_grounded_into_dp,h_catcher_interference,h_left_on_base,h_pitchers_used,h_individual_earned_runs,h_team_earned_runs,h_wild_pitches,h_balks,h_putouts,h_assists,h_errors,h_passed_balls,h_double_plays,h_triple_plays,hp_umpire_id,hp_umpire_name,1b_umpire_id,1b_umpire_name,2b_umpire_id,2b_umpire_name,3b_umpire_id,3b_umpire_name,lf_umpire_id,lf_umpire_name,rf_umpire_id,rf_umpire_name,v_manager_id,v_manager_name,h_manager_id,h_manager_name,winning_pitcher_id,winning_pitcher_name,losing_pitcher_id,losing_pitcher_name,saving_pitcher_id,saving_pitcher_name,gwrbi_batter_id,gwrbi_batter_name,v_starting_pitcher_id,v_starting_pitcher_name,h_starting_pitcher_id,h_starting_pitcher_name,v_player_1_id,v_player_1_name,v_player_1_pos,v_player_2_id,v_player_2_name,v_player_2_pos,v_player_3_id,v_player_3_name,v_player_3_pos,v_player_4_id,v_player_4_name,v_player_4_pos,v_player_5_id,v_player_5_name,v_player_5_pos,v_player_6_id,v_player_6_name,v_player_6_pos,v_player_7_id,v_player_7_name,v_player_7_pos,v_player_8_id,v_player_8_name,v_player_8_pos,v_player_9_id,v_player_9_name,v_player_9_pos,h_player_1_id,h_player_1_name,h_player_1_pos,h_player_2_id,h_player_2_name,h_player_2_pos,h_player_3_id,h_player_3_name,h_player_3_pos,h_player_4_id,h_player_4_name,h_player_4_pos,h_player_5_id,h_player_5_name,h_player_5_pos,h_player_6_id,h_player_6_name,h_player_6_pos,h_player_7_id,h_player_7_name,h_player_7_pos,h_player_8_id,h_player_8_name,h_player_8_pos,h_player_9_id,h_player_9_name,h_player_9_pos,additional_info,acquisition_info
"20241013","0","Sun","NYN","NL",1,"LAN","NL",1,0,9,51,"N","","","","LOS03",53503,172,"000000000","21030003x",29,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,5,5,7,7,1,0,24,12,2,0,0,0,31,9,1,0,0,8,2,0,0,7,0,6,0,1,0,0,7,3,0,0,0,0,27,5,0,0,0,0,"rehaj901","Jeremie Rehak","hudsm901","Marvin Hudson","lentn901","Nic Lentz","millb901","Bill Miller","rackd901","David Rackley","bakej902","Jordan Baker","mendc801","Carlos Mendoza","robed001","Dave Roberts","flahj002","Jack Flaherty","sengk001","Kodai Senga","","(none)","muncm001","Max Muncy","sengk001","Kodai Senga","flahj002","Jack Flaherty","lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"marts002","Starling Marte",9,"winkj002","Jesse Winker",10,"iglej001","Jose Iglesias",4,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"hernt002","Teoscar Hernandez",7,"smitw003","Will Smith",2,"muncm001","Max Muncy",5,"herne001","Enrique Hernandez",8,"lux-g001","Gavin Lux",4,"edmat001","Tommy Edman",6,"","Y"
"20241014","0","Mon","NYN","NL",2,"LAN","NL",2,7,3,54,"D","","","","LOS03",52926,207,"150000001","000012000",36,11,2,0,2,7,0,0,1,7,1,6,1,0,2,0,10,4,2,2,0,0,27,5,1,0,1,0,32,5,0,0,1,3,0,0,0,8,0,11,2,0,1,0,10,5,7,7,0,0,27,6,0,0,2,0,"muchm901","Mike Muchlinski","lentn901","Nic Lentz","millb901","Bill Miller","rackd901","David Rackley","bakej902","Jordan Baker","rehaj901","Jeremie Rehak","mendc801","Carlos Mendoza","robed001","Dave Roberts","manas001","Sean Manaea","brasr001","Ryan Brasier","diaze006","Edwin Diaz","lindf001","Francisco Lindor","manas001","Sean Manaea","brasr001","Ryan Brasier","lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"marts002","Starling Marte",9,"winkj002","Jesse Winker",10,"iglej001","Jose Iglesias",4,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"hernt002","Teoscar Hernandez",7,"freef001","Freddie Freeman",3,"smitw003","Will Smith",2,"edmat001","Tommy Edman",6,"muncm001","Max Muncy",5,"herne001","Enrique Hernandez",4,"pagea001","Andy Pages",8,"","Y"
"20241014","0","Mon","CLE","AL",1,"NYA","AL",1,2,5,51,"N","","","","NYC21",47264,181,"000001010","00310010x",33,6,0,0,1,2,0,0,0,1,0,14,0,0,0,0,5,5,5,5,5,0,24,4,0,0,0,0,29,6,0,0,2,3,0,1,0,7,0,9,0,0,0,0,8,4,2,2,0,0,27,6,1,1,0,0,"estam901","Mike Estabrook","iassd901","Dan Iassogna","segac901","Chris Segal","porta901","Alan Porter","viscj901","Jansen Visconti","carav901","Vic Carapazza","vogts001","Stephen Vogt","boona001","Aaron Boone","rodoc001","Carlos Rodon","cobba001","Alex Cobb","weavl001","Luke Weaver","sotoj001","Juan Soto","cobba001","Alex Cobb","rodoc001","Carlos Rodon","kwans001","Steven Kwan",7,"fry-d001","David Fry",10,"ramij003","Jose Ramirez",5,"thoml002","Lane Thomas",8,"naylj001","Josh Naylor",3,"noelj001","Jhonkensy Noel",9,"naylb001","Bo Naylor",2,"gimea001","Andres Gimenez",4,"roccb001","Brayan Rocchio",6,"torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"wella002","Austin Wells",2,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"volpa001","Anthony Volpe",6,"rizza001","Anthony Rizzo",3,"verda001","Alex Verdugo",7,"","Y"
"20241015","0","Tue","CLE","AL",2,"NYA","AL",2,3,6,51,"N","","","","NYC21",47054,206,"000020001","12000120x",34,8,0,0,1,3,0,1,0,6,0,7,1,0,0,0,11,8,4,4,0,0,24,9,2,0,0,0,33,11,4,0,1,4,0,1,0,3,1,7,0,1,0,0,7,5,3,3,0,0,27,9,0,0,0,0,"morag901","Gabe Morales","segac901","Chris Segal","porta901","Alan Porter","viscj901","Jansen Visconti","carav901","Vic Carapazza","estam901","Mike Estabrook","vogts001","Stephen Vogt","boona001","Aaron Boone","holmc001","Clay Holmes","bibet001","Tanner Bibee","","(none)","","(none)","bibet001","Tanner Bibee","coleg001","Gerrit Cole","kwans001","Steven Kwan",7,"manzk001","Kyle Manzardo",10,"ramij003","Jose Ramirez",5,"naylj001","Josh Naylor",3,"thoml002","Lane Thomas",8,"brenw002","Will Brennan",9,"gimea001","Andres Gimenez",4,"naylb001","Bo Naylor",2,"roccb001","Brayan Rocchio",6,"torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"wella002","Austin Wells",2,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"volpa001","Anthony Volpe",6,"rizza001","Anthony Rizzo",3,"verda001","Alex Verdugo",7,"","Y"
"20241016","0","Wed","LAN","NL",3,"NYN","NL",3,8,0,54,"N","","","","NYC20",43883,191,"020002031","000000000",37,10,0,0,3,8,0,1,0,7,0,8,0,0,0,0,10,5,0,0,0,0,27,5,0,0,1,0,30,4,0,0,0,0,0,0,1,4,0,13,0,0,1,0,8,3,6,6,0,1,27,6,1,0,0,0,"hudsm901","Marvin Hudson","millb901","Bill Miller","rackd901","David Rackley","bakej902","Jordan Baker","rehaj901","Jeremie Rehak","muchm901","Mike Muchlinski","robed001","Dave Roberts","mendc801","Carlos Mendoza","kopem001","Michael Kopech","sevel001","Luis Severino","","(none)","smitw003","Will Smith","buehw001","Walker Buehler","sevel001","Luis Severino","ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"freef001","Freddie Freeman",3,"muncm001","Max Muncy",5,"hernt002","Teoscar Hernandez",7,"lux-g001","Gavin Lux",4,"smitw003","Will Smith",2,"edmat001","Tommy Edman",6,"herne001","Enrique Hernandez",8,"lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"nimmb001","Brandon Nimmo",7,"alonp001","Pete Alonso",3,"marts002","Starling Marte",9,"martj006","J.D. Martinez",10,"iglej001","Jose Iglesias",4,"taylt002","Tyrone Taylor",8,"alvaf001","Francisco Alvarez",2,"","Y"
"20241017","0","Thu","LAN","NL",4,"NYN","NL",4,10,2,54,"N","","","","NYC20",43882,219,"102202030","101000000",39,12,3,0,2,10,0,0,1,9,0,11,0,0,0,0,12,4,2,2,0,0,27,9,0,0,0,0,37,10,0,0,1,2,0,0,1,3,0,12,0,0,0,0,12,4,10,10,0,0,27,7,0,0,0,0,"lentn901","Nic Lentz","rackd901","David Rackley","bakej902","Jordan Baker","rehaj901","Jeremie Rehak","muchm901","Mike Muchlinski","hudsm901","Marvin Hudson","robed001","Dave Roberts","mendc801","Carlos Mendoza","phile001","Evan Phillips","quinj001","Jose Quintana","","(none)","edmat001","Tommy Edman","yamay001","Yoshinobu Yamamoto","quinj001","Jose Quintana","ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"hernt002","Teoscar Hernandez",7,"edmat001","Tommy Edman",6,"herne001","Enrique Hernandez",5,"muncm001","Max Muncy",3,"smitw003","Will Smith",2,"pagea001","Andy Pages",8,"taylc001","Chris Taylor",4,"lindf001","Francisco Lindor",6,"vienm001","Mark Vientos",5,"alonp001","Pete Alonso",3,"nimmb001","Brandon Nimmo",7,"marts002","Starling Marte",9,"martj006","J.D. Martinez",10,"iglej001","Jose Iglesias",4,"badeh001","Harrison Bader",8,"alvaf001","Francisco Alvarez",2,"","Y"
"20241017","0","Thu","NYA","AL",3,"CLE","AL",3,5,7,59,"N","","","","CLE08",32531,232,"0100000310","0020010022",34,6,2,0,2,5,0,1,0,8,1,10,1,1,1,0,8,7,7,7,0,0,29,13,1,0,1,0,39,11,4,0,3,7,1,0,0,7,0,5,3,0,1,0,11,8,4,4,0,0,30,19,1,0,1,0,"iassd901","Dan Iassogna","porta901","Alan Porter","viscj901","Jansen Visconti","carav901","Vic Carapazza","estam901","Mike Estabrook","morag901","Gabe Morales","boona001","Aaron Boone","vogts001","Stephen Vogt","avilp001","Pedro Avila","holmc001","Clay Holmes","","(none)","fry-d001","David Fry","schmc002","Clarke Schmidt","boydm001","Matt Boyd","torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"bertj001","Jon Berti",3,"volpa001","Anthony Volpe",6,"verda001","Alex Verdugo",7,"trevj001","Jose Trevino",2,"kwans001","Steven Kwan",7,"manzk001","Kyle Manzardo",10,"ramij003","Jose Ramirez",5,"naylj001","Josh Naylor",3,"thoml002","Lane Thomas",8,"schnd002","Daniel Schneemann",9,"gimea001","Andres Gimenez",4,"hedga001","Austin Hedges",2,"roccb001","Brayan Rocchio",6,"","Y"
"20241018","0","Fri","LAN","NL",5,"NYN","NL",5,6,12,51,"N","","","","NYC20",43841,188,"010131000","30520101x",36,9,1,0,3,5,0,0,1,5,0,11,0,0,0,0,9,3,12,12,0,0,24,11,0,1,1,0,34,14,4,2,1,12,0,2,3,5,0,0,0,0,1,0,8,4,6,6,1,0,27,3,0,0,0,0,"millb901","Bill Miller","bakej902","Jordan Baker","rehaj901","Jeremie Rehak","muchm901","Mike Muchlinski","hudsm901","Marvin Hudson","lentn901","Nic Lentz","robed001","Dave Roberts","mendc801","Carlos Mendoza","stanr002","Ryne Stanek","flahj002","Jack Flaherty","","(none)","alonp001","Pete Alonso","flahj002","Jack Flaherty","peted003","David Peterson","ohtas001","Shohei Ohtani",10,"bettm001","Mookie Betts",9,"hernt002","Teoscar Hernandez",7,"freef001","Freddie Freeman",3,"edmat001","Tommy Edman",6,"herne001","Enrique Hernandez",4,"muncm001","Max Muncy",5,"smitw003","Will Smith",2,"pagea001","Andy Pages",8,"lindf001","Francisco Lindor",6,"nimmb001","Brandon Nimmo",7,"vienm001","Mark Vientos",5,"alonp001","Pete Alonso",3,"winkj002","Jesse Winker",10,"marts002","Starling Marte",9,"taylt002","Tyrone Taylor",8,"mcnej002","Jeff McNeil",4,"alvaf001","Francisco Alvarez",2,"","Y"
"20241018","0","Fri","NYA","AL",4,"CLE","AL",4,8,6,54,"N","","","","CLE08",35263,207,"210003002","101000310",36,10,0,0,3,8,1,0,0,3,1,14,1,0,1,0,5,6,6,6,0,0,27,5,1,0,0,0,37,11,4,0,0,6,0,1,0,7,1,10,1,0,0,0,12,8,8,8,0,0,27,9,1,0,1,0,"segac901","Chris Segal","viscj901","Jansen Visconti","carav901","Vic Carapazza","estam901","Mike Estabrook","morag901","Gabe Morales","iassd901","Dan Iassogna","boona001","Aaron Boone","vogts001","Stephen Vogt","leitm002","Mark Leiter","clase001","Emmanuel Clase","kahnt001","Tommy Kahnle","verda001","Alex Verdugo","gil-l001","Luis Gil","willg004","Gavin Williams","torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"chisj001","Jazz Chisholm",5,"stanm004","Giancarlo Stanton",10,"rizza001","Anthony Rizzo",3,"volpa001","Anthony Volpe",6,"wella002","Austin Wells",2,"verda001","Alex Verdugo",7,"kwans001","Steven Kwan",7,"manzk001","Kyle Manzardo",10,"ramij003","Jose Ramirez",5,"naylj001","Josh Naylor",3,"thoml002","Lane Thomas",8,"schnd002","Daniel Schneemann",9,"gimea001","Andres Gimenez",4,"hedga001","Austin Hedges",2,"roccb001","Brayan Rocchio",6,"","Y"
"20241019","0","Sat","NYA","AL",5,"CLE","AL",5,5,2,60,"N","","","","CLE08",32545,216,"0000020003","0100100000",36,9,1,0,2,5,0,0,2,1,0,9,0,0,3,0,4,5,2,2,0,0,30,7,0,0,2,0,35,7,2,0,0,2,0,0,0,5,1,11,0,0,2,0,8,5,2,2,0,0,30,11,1,0,3,0,"porta901","Alan Porter","carav901","Vic Carapazza","estam901","Mike Estabrook","morag901","Gabe Morales","iassd901","Dan Iassogna","segac901","Chris Segal","boona001","Aaron Boone","vogts001","Stephen Vogt","weavl001","Luke Weaver","gaddh001","Hunter Gaddis","","(none)","sotoj001","Juan Soto","rodoc001","Carlos Rodon","bibet001","Tanner Bibee","torrg001","Gleyber Torres",4,"sotoj001","Juan Soto",9,"judga001","Aaron Judge",8,"stanm004","Giancarlo Stanton",10,"chisj001","Jazz Chisholm",5,"rizza001","Anthony Rizzo",3,"volpa001","Anthony Volpe",6,"wella002","Austin Wells",2,"verda001","Alex Verdugo",7,"kwans001","Steven Kwan",7,"fry-d001","David Fry",10,"ramij003","Jose Ramirez",5,"thoml002","Lane Thomas",8,"naylj001","Josh Naylor",3,"noelj001","Jhonkensy Noel",9,"naylb001","Bo Naylor",2,"gimea001","Andres Gimenez",4,"roccb001","Brayan Rocchio",6,"","Y"
