"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1198,660271,"Ohtani, Shohei",1198,100,0.291,0.337,0.319,0.628,0.423,0.447,0.303,76,261,95.5,13.6,2240,89.1,89.32,171,531,667,0.20000000000000284,6.42,118,146,133,152,300,324,306,"-27.594","27.594","74.6","8.0",297,189,38,11,4,23,74,24.9,33,11.1,2.38518,0.52747,0.33303,-0.11889,"94.9",162,62.43386243386243,21.693121693121693,13.804713804713806,5.78,-0.66,-0.09,2.24,0.37,41,"2.303338898",0.383,0.689,"-2.303338898",-0.012,-0.013000000000000012,-0.061,-0.024,32.2,"36.9",15.06843482495648,-3.1283859640274225,36.54032350832884,0.5221579961464354,39.220215352500375,28.485592479163934
1061,571970,"Muncy, Max",1061,100,0.235,0.185,0.279,0.42,0.345,0.371,0.243,47,200,91.2,19.2,2264,88.6,88.79,116,462,599,0.20000000000000284,6.41,116,146,125,152,297,320,300,"-6.407","6.407","69.5","7.0",244,145,29,8,1,9,59,24.2,37,15.2,2.44768,0.51733,0.24758,-0.15485,"92.4",165,52.41379310344828,13.10344827586207,7.786885245901639,5.78,-0.94,-0.06,2.19,0.357,19,"0.603864279",0.364,0.496,"-0.603864279",-0.008,-0.007000000000000006,-0.076,-0.026,25.1,"37.1",17.392443465397225,-3.3930009014921203,34.79805277410769,0.44835680751173707,37.94760334791298,36.86571194617245
1011,605141,"Betts, Mookie",1011,100,0.272,0.153,0.27,0.426,0.343,0.355,0.287,64,235,88.8,16.9,2292,90.1,90.36,63,396,615,0.30000000000001137,6.46,107,150,121,146,302,320,292,"-8.081","8.081","65.9","6.9",266,213,47,7,1,9,24,9,28,10.5,2.19588,0.64977,0.35691,0.01,"91.8",176,36.61971830985916,5.633802816901409,4.511278195488721,5.76,-0.75,0.25,2.21,0.35,12,"0.799307616",0.363,0.453,"-0.799307616",-0.015,-0.013000000000000012,-0.027,-0.012,15.9,"37.4",8.190314878057846,-4.672267891345828,34.14678004495183,0.5498652291105122,38.17326357454444,32.405846513585495
987,681624,"Pages, Andy",987,100,0.29,0.202,0.317,0.492,0.358,0.345,0.282,69,238,88.7,16.5,2272,89.6,89.69,109,529,458,0.10000000000000853,6.36,108,151,121,147,301,319,291,"-10.698","10.698","71.0","7.9",255,192,46,10,1,12,47,18.4,13,5.1,2.25768,0.62941,0.36378,0.13003,"91.2",162,36.97916666666667,8.333333333333332,6.2745098039215685,5.78,-0.55,0.15,2.29,0.333,16,"1.083890578",0.328,0.47,"-1.083890578",0.008,0.0050000000000000044,0.022,0.013,20.6,"37.1",7.47372043626536,-2.542299657790025,41.13189708620932,0.4883268482490272,38.28731810967319,30.626090198551214
932,624424,"Conforto, Michael",932,100,0.17,0.099,0.228,0.269,0.277,0.336,0.228,31,182,90.6,14.3,2254,89.1,89.17,105,399,533,0.10000000000000853,6.37,118,147,124,152,293,319,300,"7.785","-7.785","71.9","7.2",221,126,19,9,0,3,57,25.8,31,14,2.38598,0.53096,0.37624,-0.26197,"91.8",156,45.23809523809524,9.523809523809524,5.429864253393665,5.75,-1.1,-0.12,2.3,0.312,12,"-0.835300429",0.361,0.385,"0.835300429",-0.058,-0.04899999999999999,-0.116,-0.059,26.3,"36.0",10.097701959879489,2.62941604719578,32.19061075538596,0.4625322997416021,38.05097590443096,26.70672250220139
914,669257,"Smith, Will",914,100,0.32,0.183,0.368,0.503,0.403,0.393,0.294,56,175,90.8,20.3,2280,89.8,90.05,72,354,560,0.29999999999999716,6.49,108,150,121,146,305,319,291,"-16.099","16.099","67.6","7.1",213,142,37,12,1,6,37,17.4,32,15,2.26252,0.60939,0.28941,0.08076,"92.1",192,45.07042253521127,11.267605633802818,7.511737089201878,5.72,-0.93,0.25,2.32,0.423,16,"1.761378556",0.402,0.511,"-1.761378556",0.026,0.020999999999999963,-0.008,0.01,20.3,"36.1",9.577340873877725,2.6382757439661018,33.63139747815841,0.5964391691394659,37.46402216185891,30.202063363380088
885,518692,"Freeman, Freddie",885,100,0.351,0.24,0.413,0.591,0.426,0.392,0.31,73,208,91.5,15.5,2249,89.5,89.69,131,456,429,0.20000000000000284,6.41,115,146,127,151,293,320,302,"-19.664","19.664","68.0","6.8",232,164,42,21,1,9,47,20.3,19,8.2,2.34357,0.54214,0.35118,-0.19309,"92.4",166,46.34146341463415,10.975609756097562,7.758620689655173,5.75,-0.83,-0.11,2.34,0.405,18,"2.221920904",0.371,0.539,"-2.221920904",0.041,0.03400000000000003,0.052,0.034,28.7,"36.6",10.19520437919506,2.5927107425800187,42.718104739825186,0.4663677130044843,39.77684764874869,25.99942923941568
834,606192,"Hernández, Teoscar",834,100,0.262,0.223,0.295,0.485,0.333,0.352,0.288,53,202,88.4,10.7,2281,89.5,89.68,139,430,404,0.20000000000000284,6.46,108,150,121,147,303,321,293,"-2.846","2.846","71.2","7.8",214,156,28,15,0,10,48,22.4,8,3.7,2.36048,0.53496,0.32335,0.15728,"92.0",150,40.38461538461539,11.538461538461538,8.411214953271028,5.72,-1,0.21,2.28,0.291,18,"0.341247002",0.319,0.494,"-0.341247002",-0.026,-0.028000000000000025,-0.009,-0.019,32.3,"35.7",10.108381712015772,0.6947639408643842,32.114323787513264,0.47044334975369456,39.39533415066493,30.283231197656654
690,669242,"Edman, Tommy",690,100,0.249,0.21,0.254,0.459,0.317,0.341,0.285,45,181,88.4,12.7,2192,88.8,88.95,67,337,353,0.20000000000000284,6.42,111,148,111,150,292,318,296,"-2.913","2.913","68.7","6.8",195,151,26,9,1,9,34,17.4,7,3.6,2.41349,0.54482,0.45673,-0.45688,"92.2",145,41.72185430463576,6.622516556291391,5.128205128205128,5.67,-0.6,-0.06,2.28,0.282,10,"0.422173913",0.322,0.465,"-0.422173913",-0.036,-0.040000000000000036,-0.006,-0.024,19.9,"35.4",8.666118228843857,0.5783725532023078,26.567812013763575,0.5391849529780565,36.53155523585923,28.71161531371138
589,571771,"Hernández, Enrique",589,100,0.223,0.185,0.256,0.408,0.307,0.317,0.237,29,130,89.9,14.4,2243,88.2,88.33,85,281,308,0.09999999999999432,6.38,106,151,120,147,302,319,290,"1.299","-1.299","69.1","7.4",145,94,19,3,0,7,38,26.2,13,9,2.44844,0.55913,0.29428,-0.04483,"91.9",156,40.42553191489361,10.638297872340425,6.896551724137931,5.77,-0.18,0.11,2.27,0.292,10,"-0.220543294",0.305,0.427,"0.220543294",-0.014,-0.013000000000000012,-0.019,-0.01,30.2,"38.2",8.913993340175711,-1.7015276054957176,29.63540519534851,0.5259259259259259,39.11142938483828,31.207602668095756
