"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1214,808967,"Yamamoto, Yoshinobu",1214,100,0.186,0.103,0.251,0.289,0.251,0.273,0.216,49,263,89.3,6.2,2097,89.9,90.25,163,559,655,0.3999999999999915,6.54,112,150,123,151,297,319,298,"15.478","-15.478","69.9","7.2",291,178,34,9,0,6,86,29.6,25,8.6,2.4875,0.39786,0.30523,-0.03839,"91.7",128,39.8876404494382,5.617977528089887,3.436426116838488,5.44,-1.76,-0.12,1.97,0.262,10,"-1.274958814",0.289,0.319,"1.274958814",-0.03,-0.02699999999999997,-0.03,-0.022,29.2,"43.9",8.198241892545676,-0.3831735976492312,34.32051948115226,0.4797794117647059,36.90878885809429,28.87074844180072
1056,669160,"May, Dustin",1056,100,0.242,0.155,0.293,0.397,0.319,0.345,0.267,61,252,89.8,10.9,2730,90.6,90.92,102,465,591,0.30000000000001137,6.59,112,149,121,150,295,316,298,"0.88","-0.88","69.8","7.0",284,190,41,9,3,8,64,22.5,25,8.8,2.54855,0.26556,0.1629,-0.08379,"92.7",150,42.10526315789473,8.421052631578947,5.633802816901409,4.91,-2.31,-0.14,2.33,0.322,16,"-0.083333333",0.346,0.441,"0.083333333",-0.025,-0.023999999999999966,-0.044,-0.026,21.9,"17.8",6.702537232067331,2.68830793358294,34.34826929685429,0.44719101123595506,35.72174867194908,28.497036754027473
718,689017,"Knack, Landon",718,100,0.26,0.26,0.271,0.52,0.371,0.389,0.287,39,150,91.5,16.4,2292,88.1,87.52,68,324,394,-0.5999999999999943,5.95,111,150,123,150,297,317,296,"-6.726","6.726","70.7","7.3",172,117,21,7,1,10,35,20.3,18,10.5,2.20701,0.76272,0.42961,-0.1522,"92.5",176,49.572649572649574,16.23931623931624,11.046511627906977,5.78,-1,0.04,2.5,0.343,19,"0.936768802",0.371,0.539,"-0.936768802",-0.027,-0.02799999999999997,-0.019,-0.018,21,"54.4",10.956472133202757,-2.9814308293946232,30.52687258878278,0.5409836065573771,37.51995411143767,30.266882873088228
619,676508,"Casparius, Ben",619,100,0.217,0.072,0.296,0.289,0.24,0.27,0.232,33,152,87.2,17.3,2786,89.5,88.62,101,322,297,-0.9000000000000057,5.81,112,150,123,150,296,317,295,"10.546","-10.546","67.9","7.1",161,110,24,8,0,1,44,27.3,7,4.3,2.47554,0.42044,-0.52922,-0.22124,"90.8",165,30,5.454545454545454,3.7267080745341614,6.18,-0.8,0.28,2.33,0.25,6,"-1.70371567",0.264,0.358,"1.70371567",-0.015,-0.014000000000000012,-0.069,-0.03,31.4,"46.7",8.746291873690009,0.5292289279157574,32.293368928257884,0.4873417721518987,37.26083755706582,28.83252840321617
609,664062,"Gonsolin, Tony",609,100,0.244,0.222,0.273,0.467,0.358,0.366,0.25,33,135,90,15.2,2172,88.1,87.42,81,267,342,-0.6999999999999886,5.88,109,150,123,151,297,318,297,"-6.055","6.055","69.0","7.3",157,98,21,3,0,9,38,24.2,18,11.5,2.53581,0.43124,0.50505,-0.13254,"92.8",159,44.89795918367347,11.224489795918368,7.006369426751593,6.11,-0.86,0.3,2.3,0.346,11,"0.994252874",0.351,0.498,"-0.994252874",-0.006,-0.0050000000000000044,-0.031,-0.008,30.3,"40.3",10.908298579707315,-3.598232213978004,31.744435911293404,0.5807692307692308,37.383717025843055,29.433868898128253
596,808963,"Sasaki, Roki",596,100,0.225,0.186,0.232,0.411,0.342,0.389,0.266,29,129,90.4,13.5,1519,90,91.08,52,255,341,1.0999999999999943,7.1,112,150,122,150,297,319,298,"-2.112","2.112","69.2","7.2",154,105,18,4,1,6,24,15.6,22,14.3,2.41297,0.46052,0.29896,-0.12161,"92.2",172,44.761904761904766,10.476190476190476,7.142857142857142,6.14,-2.37,-0.32,2.15,0.351,11,"0.354362416",0.386,0.513,"-0.354362416",-0.041,-0.03500000000000003,-0.102,-0.047,20.4,"44.1",9.694974164660561,-0.4783702635987231,33.64202003936277,0.5283842794759825,36.280563442142565,30.876865803855022
537,676263,"Dreyer, Jack",537,100,0.2,0.072,0.269,0.272,0.245,0.234,0.181,25,125,90.3,17.8,2380,88.6,88.82,71,272,265,0.20000000000000284,6.49,109,150,120,148,296,316,294,"9.403","-9.403","70.1","7.0",141,93,18,5,2,0,35,24.8,13,9.2,2.28663,0.65506,0.08641,-0.04723,"91.5",149,38.70967741935484,1.0752688172043012,0.7092198581560284,5.96,1.28,-0.12,2.34,0.27,1,"-1.751024209",0.256,0.252,"1.751024209",0.019,0.014000000000000012,0.02,0.011,26.1,"55.4",8.111723582573331,1.4809537666420205,31.978445796244227,0.4701195219123506,36.03194270137514,28.82954806954342
487,681911,"Vesia, Alex",487,100,0.216,0.255,0.263,0.471,0.325,0.316,0.209,22,102,89.2,27.8,2371,88.6,88.69,79,257,230,0.10000000000000853,6.34,109,151,124,150,295,315,293,"1.759","-1.759","67.6","6.9",111,64,10,5,0,7,38,34.2,8,7.2,1.7947,1.12965,0.09296,-0.10428,"91.3",178,42.1875,17.1875,9.90990990990991,6.02,0.32,-0.15,2.57,0.279,11,"-0.361190965",0.273,0.467,"0.361190965",0.007,0.006000000000000005,0.004,0.009,30.7,"63.8",6.907486279186778,-1.459661818247234,30.91362401624475,0.4672131147540984,36.08867570860075,28.920936498289908
480,607455,"Banda, Anthony",480,100,0.196,0.159,0.2,0.355,0.29,0.34,0.239,21,107,90.6,9.4,2189,90.9,90.47,60,230,250,-0.4000000000000057,6.17,109,151,122,149,296,315,294,"4.609","-4.609","68.4","7.1",121,85,14,2,0,5,22,18.2,13,10.7,2.31715,0.48541,0.3299,-0.14384,"91.6",158,37.64705882352941,11.76470588235294,8.264462809917356,5.5,2.51,-0.24,2.42,0.289,10,"-0.960208333",0.328,0.455,"0.960208333",-0.043,-0.039000000000000035,-0.1,-0.05,26.1,"33.4",9.190059457298586,0.3681466617192973,30.775159843328062,0.509009009009009,36.5377005951345,28.70978762582353
467,656945,"Scott, Tanner",467,100,0.252,0.174,0.321,0.426,0.302,0.297,0.25,29,115,91,13.5,2571,92.7,92.74,77,268,199,0,6.27,109,152,121,148,299,316,294,"2.903","-2.903","70.2","7.2",120,82,19,4,2,4,34,28.3,4,3.3,1.86011,0.80838,0.06775,-0.03242,"92.2",156,47.5609756097561,8.536585365853659,5.833333333333333,5.23,2.49,-0.25,2.21,0.275,7,"-0.621627409",0.277,0.41,"0.621627409",0.002,-0.0020000000000000018,0.016,0.005,28.7,"34.2",8.485813984277893,-1.8626210762383835,32.707359427252065,0.43346007604562736,34.54176226621501,29.83575629214108
463,472610,"García, Luis",463,100,0.29,0.14,0.368,0.43,0.349,0.353,0.287,29,100,91.1,-0.7,2031,89.2,89.55,50,224,239,0.29999999999999716,6.53,113,149,124,149,297,315,295,"-1.16","1.16","68.7","7.2",112,78,19,7,2,1,23,20.5,11,9.8,2.38816,0.52095,0.24699,-0.20842,"92.5",122,50,7.6923076923076925,5.357142857142857,6.23,-2.46,0.06,1.95,0.36,6,"0.250539957",0.359,0.452,"-0.250539957",0.003,0.0010000000000000009,-0.022,-0.004,22.3,"44.7",9.429668235909809,-1.0763543362405974,33.44532213739775,0.44607843137254904,37.16286397717545,30.75726963666825
