h_team_wins,day_night,LAN,SDN,COL,ARI,WAS,CIN,SLN,PIT,MIA,SFN,ANA,BAL,DET,CHA,NYA,HOU,MIN,KCA,CLE,OAK,BOS,SEA,TOR,TBA,CHN,TEX,MIL,NYN,ATL,PHI,SEO01,PHO01,CIN09,LOS03,MIA02,SAN02,BAL12,CHI12,HOU03,KAN06,OAK01,SEA03,STP01,ARL03,NYC20,PHI13,CHI11,WAS11,MIL06,STL10,MIN04,ATL03,DEN02,PIT08,SFO03,ANA01,DET05,NYC21,CLE08,TOR02,BOS07,MEX02,LON01,BIR01,WIL02,v_batting_xwoba,h_batting_xwoba,v_batting_k_percent,h_batting_k_percent,v_batting_bb_percent,h_batting_bb_percent,v_batting_barrels_per_pa_percent,h_batting_barrels_per_pa_percent,v_batting_hardhit_percent,h_batting_hardhit_percent,v_batting_launch_speed,h_batting_launch_speed,v_batting_bat_speed,h_batting_bat_speed,v_pitching_xwoba,h_pitching_xwoba,v_pitching_k_percent,h_pitching_k_percent,v_pitching_bb_percent,h_pitching_bb_percent,v_pitching_hardhit_percent,h_pitching_hardhit_percent,v_pitching_barrels_per_bbe_percent,h_pitching_barrels_per_bbe_percent,v_pitching_velocity,h_pitching_velocity,v_pitching_spin_rate,h_pitching_spin_rate,v_pitching_swing_miss_percent,h_pitching_swing_miss_percent
0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3358,0.3313,22.97,17.5,9.53,7.7222,6.5076,5.5443,43.0683,38.9131,89.67,88.4333,70.08,68.5111,0.254,0.294,32.2,23.6,6.7,6.4,40.0631,39.9123,8.5174,7.4561,92.2,87.2,2632,2417,30.9,25.6
0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3313,0.3358,17.5,22.97,7.7222,9.53,5.5443,6.5076,38.9131,43.0683,88.4333,89.67,68.5111,70.08,0.32,0.288,24.6,28.5,5.6,6.0,40.5797,41.25,10.5072,8.3333,87.1,89.6,2705,2116,28.3,27.0
1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2966,0.324,25.4667,20.0333,7.5222,8.7,4.6655,5.5184,39.2086,41.4864,87.9667,89.0778,69.6889,69.4222,0.344,0.308,17.3,25.1,5.3,8.7,40.7407,41.0319,10.582,7.371,88.2,88.5,2248,2238,17.1,26.0
1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2948,0.3027,21.96,25.4667,7.14,8.1667,4.2157,5.2166,38.2699,37.4164,88.15,87.9,68.64,69.4778,0.373,0.333,20.5,22.6,11.4,9.9,50.0,43.0876,13.3333,9.2166,87.8,91.6,2049,2224,30.6,24.9
1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3084,0.3358,22.6111,22.97,6.9111,9.53,5.2708,6.5076,39.421,43.0683,88.6222,89.67,69.9,70.08,0.331,0.254,16.9,32.2,3.5,6.7,42.328,40.0631,8.1129,8.5174,88.2,92.2,2235,2632,16.4,30.9
0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2957,0.2992,26.5556,21.72,8.6,5.37,5.1896,4.8562,40.4505,37.1509,88.4667,88.16,70.9778,68.58,0.32,0.33,21.5,20.9,6.5,8.1,39.2593,41.1458,7.2222,9.8958,89.7,89.7,2512,2173,21.5,29.6
1,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3168,0.3313,21.6778,17.5,8.2333,7.7222,5.5465,5.5443,40.2585,38.9131,89.0111,88.4333,70.3444,68.5111,0.32,0.294,20.5,23.6,5.6,6.4,46.1912,39.9123,6.9692,7.4561,89.0,87.2,1947,2417,20.8,25.6
1,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3137,0.313,25.2222,20.99,9.0667,6.29,5.3261,5.6616,39.6124,40.582,88.9222,88.92,68.6444,70.5,0.319,0.284,22.9,23.1,9.4,6.1,36.3248,31.6456,5.1282,6.6908,87.1,90.3,2152,2708,26.5,28.6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2959,0.2858,24.17,24.6222,7.83,6.7333,4.5607,4.1728,38.4865,36.1836,88.72,88.0444,69.68,68.5556,0.257,0.263,30.3,35.1,4.6,5.5,33.6798,38.7931,6.6528,9.1954,92.0,93.9,2043,2500,31.9,33.1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3364,0.3202,20.5,18.8556,9.8,6.8333,6.8528,5.642,42.419,39.57,89.8778,88.4111,70.0889,69.7778,0.295,0.287,22.8,23.9,5.5,7.8,43.5644,45.0317,7.9208,5.2854,87.6,88.5,2293,2318,24.2,27.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3202,0.3197,20.2111,19.6333,7.4444,7.1444,5.6479,5.4587,37.8902,40.4575,88.3333,89.0444,70.1,70.4222,0.297,0.283,25.6,29.3,5.3,8.7,37.4761,35.4077,8.2218,6.2232,90.1,89.6,2276,2445,27.0,32.0
