"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2960,665742,"Soto, Juan",2960,100,0.289,0.282,0.298,0.57,0.421,0.463,0.317,166,575,93.5,10.1,2242,88.9,89.13,237,1101,1859,0.19999999999998863,6.46,116,146,122,151,296,329,300,"-72.482","72.482","72.9","7.2",710,461,90,31,4,41,118,16.6,127,17.9,2.40744,0.51921,0.3688,-0.2046,"94.3",159,56.83297180043384,19.739696312364423,12.816901408450704,5.76,-0.65,-0.16,2.15,0.418,91,"2.448716216",0.444,0.647,"-2.448716216",-0.028,-0.026000000000000023,-0.077,-0.042,21.5,"37.8",11.474623059589483,3.96253188159191,27.101747502285004,0.5907752698724239,39.33116970807555,25.04992245740913
2896,683002,"Henderson, Gunnar",2896,100,0.281,0.248,0.32,0.529,0.381,0.373,0.283,177,630,92.8,9.2,2225,89.4,89.63,312,1281,1615,0.19999999999998863,6.45,118,147,125,152,298,328,304,"-32.831","32.831","74.7","7.2",716,475,102,31,7,37,159,22.2,75,10.5,2.29492,0.59938,0.41684,-0.19259,"93.1",156,53.89473684210526,11.157894736842106,7.402234636871509,5.73,-0.62,-0.22,2.34,0.362,53,"1.133667127",0.366,0.492,"-1.133667127",-0.002,-0.0040000000000000036,0.037,0.008,24.4,"37.8",7.693293593656807,4.215382980642016,30.48750167298495,0.4547677261613692,35.24805218499257,31.89964337272659
2885,592450,"Judge, Aaron",2885,100,0.322,0.379,0.367,0.701,0.476,0.479,0.31,180,559,96.2,19,2278,89.4,89.61,372,1213,1672,0.19999999999998863,6.51,106,151,124,145,307,332,294,"-97.118","97.118","75.7","8.1",684,390,85,36,1,58,171,25,113,16.5,2.33468,0.56683,0.27492,-0.01048,"94.4",189,61.02564102564103,26.923076923076923,15.350877192982457,5.77,-0.86,0.22,2.34,0.442,105,"3.366308492",0.433,0.723,"-3.366308492",0.012,0.009000000000000008,-0.022,-0.003,30.7,"38.5",13.800691932971912,-3.7493673660214744,39.734243098333785,0.49458483754512633,42.6073814591763,29.37594437068836
2844,680776,"Duran, Jarren",2844,100,0.285,0.207,0.345,0.492,0.357,0.338,0.271,191,671,90.2,9.1,2265,89.5,89.76,340,1373,1470,0.29999999999999716,6.45,116,146,107,151,282,320,307,"-33.457","33.457","71.8","7.5",734,515,108,48,14,21,160,21.8,53,7.2,2.25743,0.63511,0.35958,-0.15863,"92.2",159,43.883495145631066,9.320388349514563,6.539509536784741,5.72,-0.66,-0.11,2.38,0.341,48,"1.17640647",0.329,0.448,"-1.17640647",0.014,0.01200000000000001,0.044,0.019,24.8,"38.1",3.1762899270046145,4.160979120700395,29.192552902863735,0.345266507557677,39.22400678031836,26.621179122239337
2821,650402,"Torres, Gleyber",2821,100,0.257,0.121,0.306,0.378,0.313,0.307,0.24,151,587,88.2,14.8,2273,88.8,89.12,296,1290,1531,0.29999999999999716,6.52,109,151,121,147,303,323,287,"0.192","-0.192","68.4","7.2",665,461,110,26,0,15,136,20.5,65,9.8,2.35294,0.59136,0.26658,-0.01683,"91.1",175,35.35791757049891,6.29067245119306,4.360902255639098,5.75,-0.85,0.25,2.29,0.33,29,"-0.006806097",0.317,0.368,"0.006806097",0.017,0.013000000000000012,0.01,0.006,22.9,"38.6",7.607850111174168,6.306424620601765,34.53832747681458,0.506265664160401,36.37772804299279,29.964197529823537
2797,683011,"Volpe, Anthony",2797,100,0.243,0.121,0.303,0.364,0.287,0.274,0.234,155,637,87,8.1,2276,88.9,89.18,304,1345,1452,0.29999999999999716,6.49,106,151,111,146,301,322,286,"15.703","-15.703","66.8","7.0",688,486,109,27,7,12,156,22.7,41,6,2.35759,0.58196,0.26768,0.04452,"90.9",154,35.390946502057616,3.909465020576132,2.761627906976744,5.75,-0.81,0.09,2.31,0.292,19,"-0.561422953",0.286,0.328,"0.561422953",0.009,0.006000000000000005,0.036,0.013,22.6,"38.5",9.032849109417812,7.9574545530982785,33.0386013753635,0.5828707375099128,37.137254976650496,26.07317252415368
2774,668227,"Arozarena, Randy",2774,100,0.219,0.169,0.275,0.388,0.32,0.324,0.219,120,549,90.4,13.2,2284,89.4,89.51,337,1136,1638,0.09999999999999432,6.42,107,151,120,147,301,326,294,"-14.164","14.164","70.3","7.3",648,384,67,33,0,20,169,26.1,73,11.3,2.30595,0.59633,0.32731,0.06195,"92.1",151,43.48958333333333,8.333333333333332,4.938271604938271,5.69,-0.82,0.28,2.23,0.332,32,"0.510598414",0.335,0.381,"-0.510598414",0,-0.0030000000000000027,0.007,-0.004,29.7,"37.7",8.764574581343686,0.14965416193079545,24.73370518150303,0.6725746268656716,35.05367606804763,31.49362358440358
2738,623993,"Santander, Anthony",2738,100,0.235,0.271,0.225,0.506,0.345,0.324,0.228,140,595,89.8,22.8,2249,89.7,89.91,272,1362,1376,0.20000000000000284,6.44,115,148,126,150,300,327,298,"-29.239","29.239","71.8","7.1",662,471,69,25,2,44,129,19.5,55,8.3,2.22322,0.65164,0.37402,-0.37402,"91.9",172,41.6135881104034,11.67728237791932,8.308157099697885,5.75,-0.84,-0.05,2.45,0.305,55,"1.067896275",0.301,0.445,"-1.067896275",0.007,0.0040000000000000036,0.061,0.021,20,"38.5",6.883855782542283,-5.031848060692688,26.323592975958764,0.4780600461893764,34.77971433265829,32.36049735998277
2735,608070,"Ramírez, José",2735,100,0.279,0.258,0.265,0.537,0.364,0.329,0.259,173,620,89.2,19.6,2218,88.7,88.96,205,1352,1382,0.29999999999999716,6.43,112,146,125,149,295,324,296,"-31.75","31.75","69.8","7.2",670,544,93,39,2,39,82,12.2,42,6.3,2.43954,0.49642,0.34454,-0.34383,"92.6",167,39.705882352941174,8.63970588235294,7.014925373134329,5.76,-0.99,-0.17,2.24,0.323,47,"1.160877514",0.307,0.453,"-1.160877514",0.02,0.016000000000000014,0.084,0.035,15.2,"37.9",9.017822010714777,-7.61453656525947,30.566584929672246,0.6042823156225218,32.821188607413376,31.439334351169695
2626,543760,"Semien, Marcus",2626,100,0.237,0.154,0.25,0.391,0.306,0.313,0.251,154,650,87.4,17,2272,88.9,89.1,265,1313,1313,0.19999999999998863,6.46,109,152,122,146,304,326,294,"-0.204","0.204","66.3","7.6",716,546,102,27,2,23,105,14.7,62,8.7,2.33002,0.60042,0.26446,0.03518,"91.3",154,35.16483516483517,6.593406593406594,5.027932960893855,5.77,-0.85,0.34,2.22,0.306,36,"0.007768469",0.319,0.391,"-0.007768469",-0.014,-0.013000000000000012,0,-0.007,20.2,"38.4",12.481260876893812,-5.238952065957877,32.19539970207766,0.5501618122977346,33.83290098022442,30.056556833379464
