"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2947,621566,"Olson, Matt",2947,100,0.247,0.21,0.293,0.457,0.339,0.34,0.247,148,600,91.5,16.1,2245,89.7,90.16,385,1465,1481,0.5,6.51,115,146,129,152,303,329,304,"-17.499","17.499","72.3","7.3",679,435,81,37,1,29,170,25,65,9.6,2.23472,0.6436,0.3476,-0.15033,"92.3",176,47.356321839080465,12.413793103448276,7.952871870397643,5.82,-0.85,-0.12,2.48,0.327,54,"0.593790295",0.33,0.448,"-0.593790295",0,-0.0030000000000000027,0.009,-0.001,26.3,"37.8",7.61076070874143,-0.7065478056188087,34.1182871853404,0.4199706314243759,37.55207692018516,32.815472356726886
2875,542303,"Ozuna, Marcell",2875,100,0.302,0.244,0.359,0.546,0.395,0.402,0.286,183,606,92.1,14.5,2264,89.2,89.61,422,1345,1528,0.3999999999999915,6.54,108,151,124,147,309,329,298,"-46.071","46.071","72.3","7.3",686,440,113,31,0,39,170,24.8,72,10.5,2.37174,0.53892,0.29789,0.0463,"92.9",173,53.40909090909091,15.454545454545453,9.912536443148689,5.8,-0.87,0.3,2.26,0.377,68,"1.602469565",0.366,0.572,"-1.602469565",0.016,0.01100000000000001,-0.026,-0.007,31.4,"38.3",14.37823230088156,-1.147683582410008,36.602439528797774,0.5068493150684932,36.52286104221534,31.570158031783055
2852,656941,"Schwarber, Kyle",2852,100,0.248,0.237,0.301,0.485,0.366,0.38,0.256,142,573,93.6,15,2228,88.8,89.1,365,1139,1713,0.29999999999999716,6.45,120,146,127,152,296,326,298,"-30.685","30.685","75.0","7.6",688,384,82,22,0,38,197,28.6,102,14.8,2.35435,0.58473,0.33307,-0.09331,"94.3",157,55.46875,15.625,8.720930232558139,5.84,-0.51,-0.21,2.2,0.362,60,"1.075911641",0.37,0.512,"-1.075911641",-0.008,-0.008000000000000007,-0.027,-0.014,32,"37.9",12.916833243482325,-2.7770704645792077,29.196672145111556,0.6632075471698113,36.29954995196616,30.490735431338404
2838,660271,"Ohtani, Shohei",2838,100,0.31,0.336,0.336,0.646,0.431,0.442,0.314,197,636,95.7,16,2233,89.4,89.68,400,1343,1495,0.29999999999999716,6.41,117,146,130,152,301,326,307,"-71.234","71.234","74.7","7.7",721,479,98,38,7,54,162,22.5,71,9.8,2.34087,0.54775,0.34484,-0.16328,"94.5",173,60.125260960334025,21.50313152400835,14.285714285714285,5.76,-0.57,-0.13,2.35,0.382,103,"2.510007047",0.388,0.66,"-2.510007047",-0.004,-0.006000000000000005,-0.014,-0.011,29.8,"38.0",10.780335786134769,-0.9335278601853466,34.86911573283945,0.4995983935742972,38.13097246499925,26.27587856555576
2780,624413,"Alonso, Pete",2780,100,0.241,0.219,0.276,0.46,0.34,0.343,0.243,146,607,89.8,14.4,2269,89.7,89.97,295,1192,1588,0.29999999999999716,6.5,108,151,124,147,304,326,296,"-16.793","16.793","73.3","7.3",690,440,81,31,0,34,171,24.8,66,9.6,2.28967,0.60796,0.36678,0.06469,"92.8",160,46.36363636363636,13.18181818181818,8.405797101449275,5.76,-0.77,0.15,2.28,0.326,58,"0.604064748",0.329,0.462,"-0.604064748",-0.002,-0.0030000000000000027,-0.002,-0.003,24.7,"38.1",9.212570065048354,-1.3811850114081206,31.465807024849596,0.5372050816696915,38.46621165936836,29.465647618444805
2752,630105,"Cronenworth, Jake",2752,100,0.241,0.149,0.274,0.39,0.315,0.335,0.259,139,577,88.3,13.5,2249,90.1,90.37,212,1238,1514,0.30000000000001137,6.5,115,147,115,151,287,320,304,"-6.283","6.283","67.1","6.9",656,463,90,29,3,17,118,18,61,9.3,2.20088,0.6601,0.41473,-0.21566,"91.4",161,36.7170626349892,7.775377969762419,5.487804878048781,5.72,-0.81,-0.19,2.46,0.324,36,"0.228306686",0.341,0.42,"-0.228306686",-0.018,-0.017000000000000015,-0.03,-0.02,17.1,"37.1",4.761277941886422,2.7554442498338196,33.253236106949394,0.33987511150758254,34.26591209669793,28.01476752888192
2751,682829,"De La Cruz, Elly",2751,100,0.259,0.212,0.359,0.471,0.349,0.328,0.24,160,618,90.9,9.5,2230,88.6,88.91,398,1193,1558,0.30000000000001137,6.44,114,147,114,150,297,325,299,"-20.066","20.066","72.7","7.2",694,403,89,36,10,25,218,31.4,67,9.7,2.41024,0.53691,0.30132,-0.30132,"92.7",151,45.6575682382134,12.655086848635236,7.348703170028818,5.82,-0.63,-0.01,2.41,0.337,51,"0.729407488",0.32,0.428,"-0.729407488",0.019,0.017000000000000015,0.043,0.021,33.4,"38.7",8.579489400461611,1.0249051366462383,35.25696084767392,0.5049864007252947,38.00385453331289,35.375282484745526
2747,607043,"Nimmo, Brandon",2747,100,0.225,0.175,0.267,0.4,0.321,0.335,0.245,128,570,91.9,11.2,2254,89.9,90.15,288,1232,1515,0.29999999999999716,6.51,116,146,112,150,291,323,303,"-8.081","8.081","71.5","7.2",661,416,77,25,3,23,157,23.8,76,11.5,2.2406,0.64011,0.38346,-0.14827,"92.0",164,47.355769230769226,9.134615384615383,5.748865355521937,5.76,-0.88,-0.04,2.39,0.327,38,"0.294175464",0.346,0.409,"-0.294175464",-0.02,-0.01899999999999996,-0.009,-0.014,23.4,"38.3",5.779742960432431,1.083333836293969,29.089517938890314,0.4761491760624458,39.93241725612366,27.409139002789995
2739,595777,"Profar, Jurickson",2739,100,0.28,0.179,0.302,0.459,0.365,0.364,0.282,158,564,90.1,12.5,2218,89.3,89.57,213,1250,1489,0.29999999999999716,6.51,114,147,115,150,294,321,297,"-25.138","25.138","69.4","7.2",664,473,105,29,0,24,101,15.2,72,10.8,2.32563,0.58432,0.39109,-0.39109,"92.3",159,44.397463002114165,7.188160676532769,5.120481927710843,5.75,-0.88,-0.09,2.36,0.376,34,"0.917780212",0.38,0.444,"-0.917780212",-0.002,-0.0040000000000000036,0.015,0.001,17,"37.7",7.118717540064015,-1.4567255840818663,32.8443494060827,0.46605504587155966,36.221283453147734,30.06602693308631
2733,642715,"Adames, Willy",2733,100,0.251,0.211,0.297,0.462,0.342,0.339,0.243,153,610,88.6,20.6,2292,89.7,90.07,399,1352,1381,0.3999999999999915,6.5,107,150,121,146,304,322,293,"-10.781","10.781","72.0","8.1",685,440,88,33,0,32,173,25.3,71,10.4,2.23974,0.63072,0.32499,0.10893,"91.6",171,40.68181818181818,12.045454545454545,7.737226277372263,5.75,-0.82,0.13,2.3,0.328,53,"0.394474936",0.321,0.461,"-0.394474936",0.008,0.007000000000000006,0.001,0.003,29.5,"39.3",15.191287237138008,-0.4893446172179192,33.613907913324724,0.5553857906799083,40.55318136080883,30.098492306386223
